id,url,zh_tw,ja,en,translate,note
23,https://www.busfan.club/genre/23,妓女,キャバ嬢・風俗嬢,Club Hostess & Sex Worker,妓女,
1c,https://www.busfan.club/genre/1c,家教,家庭教師,Private Tutor,家教,
uncensored-e7,https://www.busfan.club/uncensored/genre/e7,家中,自宅,自宅,家中,
5y,https://www.busfan.club/genre/5y,假陽具,ディルド,Dildo,假阳具,
uncensored-62,https://www.busfan.club/uncensored/genre/62,假陽具,ディルド,ディルド,假陽具,
uncensored-gre013,https://www.busfan.club/uncensored/genre/gre013,尖叫,絶叫,絶叫,尖叫,
25,https://www.busfan.club/genre/25,監禁,監禁,Confinement,监禁,
uncensored-162,https://www.busfan.club/uncensored/genre/162,監禁,監禁,監禁,監禁,
uncensored-gre017,https://www.busfan.club/uncensored/genre/gre017,檢查,診察,診察,檢查,
4s,https://www.busfan.club/genre/4s,講師,インストラクター,Instructor,讲师,
uncensored-66,https://www.busfan.club/uncensored/genre/66,嬌小,小柄,小柄,嬌小,
3k,https://www.busfan.club/genre/3k,嬌小的,ミニ系・小柄,Short & Petite,娇小的,
1,https://www.busfan.club/genre/1,角色扮演,コスプレ,Cosplay,Cosplay,
uncensored-gre026,https://www.busfan.club/uncensored/genre/gre026,角色扮演,コスプレ,コスプレ,角色扮演,
uncensored-gre030,https://www.busfan.club/uncensored/genre/gre030,教師,インストラクター,インストラクター,教師,
uncensored-7j,https://www.busfan.club/uncensored/genre/7j,教室,教室,教室,教室,
5s,https://www.busfan.club/genre/5s,教學,How To,How To,教学,
2w,https://www.busfan.club/genre/2w,姐姐,お姉さん,Older Sister,姐姐,
uncensored-gre028,https://www.busfan.club/uncensored/genre/gre028,姐姐,お姉さん,お姉さん,姐姐,
3e,https://www.busfan.club/genre/3e,姐妹,姉・妹,Older & Younger Sister,姐妹,
48,https://www.busfan.club/genre/48,介紹影片,イメージビデオ,Idol Video,介绍影片,
uncensored-gre015,https://www.busfan.club/uncensored/genre/gre015,借款,借金,借金,借款,
1q,https://www.busfan.club/genre/1q,紧缚,縛り・緊縛,Bondage,紧缚,
d,https://www.busfan.club/genre/d,緊縛,ボンテージ,Bondage,紧缚,
3a,https://www.busfan.club/genre/3a,緊身衣,レオタード,Leotards,紧身衣,
uncensored-jg,https://www.busfan.club/uncensored/genre/jg,緊身衣,レオタード,Leotard,緊身衣,
3j,https://www.busfan.club/genre/3j,經典,クラシック,Classics,经典,
uncensored-1b8,https://www.busfan.club/uncensored/genre/1b8,經期,生理中,Menstruate,經期,
uncensored-11p,https://www.busfan.club/uncensored/genre/11p,精液流出,中出し精液抱上げ垂流し,air sperm discharge,精液流出,
uncensored-11s,https://www.busfan.club/uncensored/genre/11s,精液塗抹,精液塗り込み,semen body painting,精液塗抹,
uncensored-1bu,https://www.busfan.club/uncensored/genre/1bu,頸鏈,首かせ,choker,頸鏈,
uncensored-1bx,https://www.busfan.club/uncensored/genre/1bx,警察,ミニスカポリス,Police,警察,
uncensored-gre112,https://www.busfan.club/uncensored/genre/gre112,痙攣,全身痙攣,全身痙攣,痙攣,
uncensored-2o,https://www.busfan.club/uncensored/genre/2o,酒店,ホテル,ホテル,酒店,
3p,https://www.busfan.club/genre/3p,拘束,拘束,Tied Up,拘束,
uncensored-gre125,https://www.busfan.club/uncensored/genre/gre125,拘束,拘束,拘束,拘束,
s,https://www.busfan.club/genre/s,局部特寫,局部アップ,Genital Close-Up,局部特写,
uncensored-gre080,https://www.busfan.club/uncensored/genre/gre080,巨大陽具,デカマラ,デカマラ,巨大陽具,
6r,https://www.busfan.club/genre/6r,巨尻,巨尻,Big Asses,巨尻,
e,https://www.busfan.club/genre/e,巨乳,巨乳,Big Tits,巨乳,
uncensored-gre065,https://www.busfan.club/uncensored/genre/gre065,巨乳,巨乳,巨乳,巨乳,
uncensored-gre078,https://www.busfan.club/uncensored/genre/gre078,巨臀,巨尻,巨尻,巨臀,
uncensored-gre004,https://www.busfan.club/uncensored/genre/gre004,劇情,ドラマ・ストーリー,Drama,劇情,
uncensored-1b4,https://www.busfan.club/uncensored/genre/1b4,捲髮,クルクル巻髪,Curly Hair,捲髮,
uncensored-125,https://www.busfan.club/uncensored/genre/125,開口器,開口具（ボールギャグ含）,Tool for opening mouse,開口器,
uncensored-gre042,https://www.busfan.club/uncensored/genre/gre042,看護,介護士,介護士,看護,
61,https://www.busfan.club/genre/61,科幻,SF,Sci-Fi,科幻,
uncensored-qm,https://www.busfan.club/uncensored/genre/qm,客人,お客,お客,客人,
2l,https://www.busfan.club/genre/2l,空中小姐,スチュワーデス,Stewardess,空姐,
uncensored-gre048,https://www.busfan.club/uncensored/genre/gre048,空中小姐,CA,CA,空中小姐,
5z,https://www.busfan.club/genre/5z,恐怖,ホラー,Horror,恐怖,
1o,https://www.busfan.club/genre/1o,口交,フェラ,Blowjob,口交,
uncensored-gre083,https://www.busfan.club/uncensored/genre/gre083,口交,フェラ,フェラ,口交,
uncensored-gre089,https://www.busfan.club/uncensored/genre/gre089,口內射精,口内発射,口内発射,口內射精,
uncensored-gre116,https://www.busfan.club/uncensored/genre/gre116,口射,口射,口射,口射,
f6,https://www.busfan.club/genre/f6,蝋燭,蝋燭,蝋燭,滴蜡,
uncensored-3,https://www.busfan.club/uncensored/genre/3,辣妹,ギャル,ギャル,辣妹,
uncensored-161,https://www.busfan.club/uncensored/genre/161,蠟燭,蝋燭,蝋燭,蠟燭,
uncensored-1d3,https://www.busfan.club/uncensored/genre/1d3,啦啦隊,チアリーダー,Chearleaders,啦啦隊,
1j,https://www.busfan.club/genre/1j,濫交,乱交,Orgy,滥交,
40,https://www.busfan.club/genre/40,爛醉如泥的,泥酔,Drunk Girl,烂醉如泥的,
uncensored-11w,https://www.busfan.club/uncensored/genre/11w,牢籠,鉄格子,bars/lock,牢籠,
uncensored-jk,https://www.busfan.club/uncensored/genre/jk,老師,先生,先生,老師,
51,https://www.busfan.club/genre/51,立即口交,即ハメ,Quickie,立即口交,
uncensored-gre114,https://www.busfan.club/uncensored/genre/gre114,立即口交,即ハメ,Immediate Fcuk,立即口交,
28,https://www.busfan.club/genre/28,連褲襪,パンスト,Pantyhose,连裤袜,
uncensored-gre050,https://www.busfan.club/uncensored/genre/gre050,連褲襪,ストッキング,ストッキング,連褲襪,
uncensored-gre100,https://www.busfan.club/uncensored/genre/gre100,連續內射,連続中出し,連続中出し,連續內射,
uncensored-16w,https://www.busfan.club/uncensored/genre/16w,連衣裙,ワンピース,ワンピース,連衣裙,
4q,https://www.busfan.club/genre/4q,戀愛,恋愛,Love,恋爱,
2d,https://www.busfan.club/genre/2d,戀乳癖,巨乳フェチ,Big Tits Lover,恋乳癖,
2x,https://www.busfan.club/genre/2x,戀腿癖,脚フェチ,Foot Fetish,恋腿癖,
uncensored-bd,https://www.busfan.club/uncensored/genre/bd,戀物癖,フェチ,フェチ,戀物癖,
1e,https://www.busfan.club/genre/1e,獵豔,ナンパ,Picking Up Girls,猎艳,
uncensored-3q,https://www.busfan.club/uncensored/genre/3q,淋浴,シャワー,シャワー,淋浴,
uncensored-pk,https://www.busfan.club/uncensored/genre/pk,鄰居,ご近所,ご近所,鄰居,
3s,https://www.busfan.club/genre/3s,凌辱,辱め,Torture & Rape,凌辱,
uncensored-gre121,https://www.busfan.club/uncensored/genre/gre121,凌辱,イラマチオ,Iramatio,凌辱,
uncensored-wj,https://www.busfan.club/uncensored/genre/wj,樓梯,階段,階段,樓梯,
uncensored-gre123,https://www.busfan.club/uncensored/genre/gre123,露出,野外露出,Outdoor,露出,
uncensored-kr,https://www.busfan.club/uncensored/genre/kr,亂搞,複数プレイ,複数プレイ,亂搞,
uncensored-gre093,https://www.busfan.club/uncensored/genre/gre093,亂交,乱交,乱交,亂交,
20,https://www.busfan.club/genre/20,亂倫,近親相姦,Incest,乱伦,
3m,https://www.busfan.club/genre/3m,輪姦,輪姦,Gang Bang,轮奸,
uncensored-gre092,https://www.busfan.club/uncensored/genre/gre092,輪姦,輪姦中出し,Gangbang,輪姦,
uncensored-gre027,https://www.busfan.club/uncensored/genre/gre027,蘿莉,ロリ,ロリ,蘿莉,
w,https://www.busfan.club/genre/w,蘿莉塔,ロリ系,Lolicon,萝莉,
uncensored-1di,https://www.busfan.club/uncensored/genre/1di,裸體襪子,裸ソックス,Socks on Naked Body,裸體襪子,
2s,https://www.busfan.club/genre/2s,裸體圍裙,裸エプロン,Naked Apron,裸体围裙,
uncensored-7w,https://www.busfan.club/uncensored/genre/7w,旅館,旅館,旅館,旅館,
eb,https://www.busfan.club/genre/eb,旅行,旅行,旅行,旅行,
uncensored-gre010,https://www.busfan.club/uncensored/genre/gre010,旅行,旅行,旅行,旅行,
uncensored-gre036,https://www.busfan.club/uncensored/genre/gre036,媽媽,ママ,ママ,媽媽,
et,https://www.busfan.club/genre/et,罵倒,罵倒,罵倒,骂倒,
57,https://www.busfan.club/genre/57,蠻橫嬌羞,ツンデレ,TSUNDERE,蛮横娇羞,
4n,https://www.busfan.club/genre/4n,貓耳女,ネコミミ・獣系,Animal Ears,猫耳女,
uncensored-1dd,https://www.busfan.club/uncensored/genre/1dd,貓眼,ネコ目美人,Cat's Eyes,貓眼,
uncensored-vx,https://www.busfan.club/uncensored/genre/vx,毛衣,セーター,セーター,毛衣,
uncensored-gre071,https://www.busfan.club/uncensored/genre/gre071,美白,美白,美白,美白,
uncensored-1da,https://www.busfan.club/uncensored/genre/1da,美肌,美肌・美白,Beautiful Skin,美肌,
uncensored-gre049,https://www.busfan.club/uncensored/genre/gre049,美人,美女,美女,美人,
uncensored-8d,https://www.busfan.club/uncensored/genre/8d,美容師,エステティシャン,エステティシャン,美容師,
44,https://www.busfan.club/genre/44,美容院,エステ,Massage Parlor,美容院,
uncensored-gre064,https://www.busfan.club/uncensored/genre/gre064,美乳,美乳,美乳,美乳,
30,https://www.busfan.club/genre/30,美少女,美少女,Beautiful Girl,美少女,
uncensored-gre069,https://www.busfan.club/uncensored/genre/gre069,美腿,美脚,美脚,美腿,
uncensored-gre068,https://www.busfan.club/uncensored/genre/gre068,美臀,美尻,美尻,美臀,
uncensored-bl,https://www.busfan.club/uncensored/genre/bl,美穴,美マン,Beautiful Pussy,美穴,
uncensored-po,https://www.busfan.club/uncensored/genre/po,門口,玄関,玄関,門口,
uncensored-c2,https://www.busfan.club/uncensored/genre/c2,猛烈,激しい,激しい,猛烈,
i,https://www.busfan.club/genre/i,迷你裙,ミニスカ,Miniskirt,迷你裙,
uncensored-gre059,https://www.busfan.club/uncensored/genre/gre059,迷你裙,ミニスカート,ミニスカート,迷你裙,
2m,https://www.busfan.club/genre/2m,迷你裙警察,ミニスカポリス,Miniskirt Police,迷你裙警察,
83,https://www.busfan.club/genre/83,迷你係列,ミニ系,Mini series,迷你系列,
uncensored-y2,https://www.busfan.club/uncensored/genre/y2,秘密,秘密,秘密,秘密,
32,https://www.busfan.club/genre/32,秘書,秘書,Secretary,秘书,
uncensored-ct,https://www.busfan.club/uncensored/genre/ct,秘書,秘書,秘書,秘書,
uncensored-v6,https://www.busfan.club/uncensored/genre/v6,密會,密会,密会,密會,
uncensored-6e,https://www.busfan.club/uncensored/genre/6e,密室,密室,密室,密室,
eq,https://www.busfan.club/genre/eq,面接,面接,面接,面试,
uncensored-f7,https://www.busfan.club/uncensored/genre/f7,面具,仮面,仮面,面具,
uncensored-11x,https://www.busfan.club/uncensored/genre/11x,面具男,覆面男（マスク含）,Mask man,面具男,
uncensored-gre011,https://www.busfan.club/uncensored/genre/gre011,面試,面接,面接,面試,
1f,https://www.busfan.club/genre/1f,苗條,スレンダー,Slender,苗条,
uncensored-gre067,https://www.busfan.club/uncensored/genre/gre067,苗條,スレンダー,スレンダー,苗條,
uncensored-8y,https://www.busfan.club/uncensored/genre/8y,敏感,敏感,敏感,敏感,
uncensored-o4,https://www.busfan.club/uncensored/genre/o4,明星,セレブ,セレブ,明星,
39,https://www.busfan.club/genre/39,明星臉,そっくりさん,Lookalike,明星脸,
uncensored-gre029,https://www.busfan.club/uncensored/genre/gre029,模特,モデル系,モデル系,模特,
34,https://www.busfan.club/genre/34,模特兒,モデル,Model,模特,
uncensored-b6,https://www.busfan.club/uncensored/genre/b6,摩擦,素股,素股,摩擦,
5r,https://www.busfan.club/genre/5r,魔法少女,魔法少女,Magical Girl,魔法少女,
uncensored-9a,https://www.busfan.club/uncensored/genre/9a,魔女,魔女,魔女,魔女,
1k,https://www.busfan.club/genre/1k,母親,お母さん,MILF,母亲,
47,https://www.busfan.club/genre/47,母乳,母乳,Breast Milk,母乳,
uncensored-kp,https://www.busfan.club/uncensored/genre/kp,母乳,母乳,Mother's milk,母乳,
uncensored-1a1,https://www.busfan.club/uncensored/genre/1a1,奶奶,お婆ちゃん,お婆ちゃん,奶奶,
ef,https://www.busfan.club/genre/ef,男の潮吹き,男の潮吹き,男の潮吹き,男性高潮,
2r,https://www.busfan.club/genre/2r,男同性恋,ゲイ・ホモ,Gay,男同性恋,
uncensored-gre034,https://www.busfan.club/uncensored/genre/gre034,男友,元カレ,元カレ,男友,
uncensored-gre156,https://www.busfan.club/uncensored/genre/gre156,男装,男装,men's clothes,男装,
uncensored-gre084,https://www.busfan.club/uncensored/genre/gre084,內射,中出し,Creampie,內射,
uncensored-134,https://www.busfan.club/uncensored/genre/134,內射潮吹,中出し精液潮混合噴射,Mixed juice jet,內射潮吹,
uncensored-12p,https://www.busfan.club/uncensored/genre/12p,內射觀察,中出しクスコ覗き,Peeping Pussy,內射觀察,
50,https://www.busfan.club/genre/50,內衣,パンチラ,Panty Shot,内衣,
uncensored-5x,https://www.busfan.club/uncensored/genre/5x,內衣,下着,下着,內衣,
v,https://www.busfan.club/genre/v,內衣,ランジェリー,Lingerie,内衣,
ev,https://www.busfan.club/genre/ev,逆レイプ,逆レイプ,逆レイプ,逆强奸,
63,https://www.busfan.club/genre/63,逆強姦,逆レイプ,Reverse Rape,逆强奸,
uncensored-gre040,https://www.busfan.club/uncensored/genre/gre040,年輕人妻,幼妻,幼妻,年輕人妻,
e7,https://www.busfan.club/genre/e7,娘・養女,娘・養女,娘・養女,养女,
uncensored-17h,https://www.busfan.club/uncensored/genre/17h,牛仔褲,ジーンズ,ジーンズ,牛仔褲,
uncensored-fz,https://www.busfan.club/uncensored/genre/fz,農村,田舎,田舎,農村,
uncensored-28,https://www.busfan.club/uncensored/genre/28,奴役,ボンテージ,Bondage,奴役,
1x,https://www.busfan.club/genre/1x,女大學生,女子大生,College Girl,女大学生,
4k,https://www.busfan.club/genre/4k,女祭司,巫女,Priestess,女祭司,
3o,https://www.busfan.club/genre/3o,女檢察官,女捜査官,Female Detective,女检察官,
1n,https://www.busfan.club/genre/1n,女教師,女教師,Female Teacher,女教师,
uncensored-gre039,https://www.busfan.club/uncensored/genre/gre039,女教師,女教師,女教師,女教師,
uncensored-13,https://www.busfan.club/uncensored/genre/13,女僕,メイド,Maid,女僕,
56,https://www.busfan.club/genre/56,女忍者,くノ一,Female Ninja,女忍者,
eg,https://www.busfan.club/genre/eg,女上司,女上司,女上司,女上司,
42,https://www.busfan.club/genre/42,女上位,騎乗位,Cowgirl,女上位,
p,https://www.busfan.club/genre/p,女生,ギャル,Gal,女生,
uncensored-14l,https://www.busfan.club/uncensored/genre/14l,女體盛,女体盛り,Foods on Body,女體盛,
4a,https://www.busfan.club/genre/4a,女同接吻,レズキス,Lesbian Kissing,女同接吻,
1d,https://www.busfan.club/genre/1d,女同性戀,レズ,Lesbian,女同性恋,
uncensored-gre158,https://www.busfan.club/uncensored/genre/gre158,女王,女王,Queen,女王,
em,https://www.busfan.club/genre/em,女王様,女王様,女王様,女王,
27,https://www.busfan.club/genre/27,女醫生,女医,Female Doctor,女医生,
j,https://www.busfan.club/genre/j,女傭,メイド,Maid,女佣,
6i,https://www.busfan.club/genre/6i,女優ベスト・総集編,女優ベスト・総集編,Actress Best Compilation,女优精选合集,
4f,https://www.busfan.club/genre/4f,女優按摩棒,電マ,Big Vibrator,女优按摩棒,
5h,https://www.busfan.club/genre/5h,女戰士,女戦士,Female Soldier,女战士,
c,https://www.busfan.club/genre/c,女主播,女子アナ,Female Anchor,女主播,
38,https://www.busfan.club/genre/38,女主人、女老板,女将・女主人,Housewife,女主人、女老板,
55,https://www.busfan.club/genre/55,女裝人妖,女装・男の娘,Cross Dresser,女装人妖,
uncensored-1y,https://www.busfan.club/uncensored/genre/1y,偶像,アイドル,アイドル,偶像,
1u,https://www.busfan.club/genre/1u,偶像藝人,アイドル・芸能人,Idol & Celebrity,偶像艺人,
5g,https://www.busfan.club/genre/5g,嘔吐,ゲロ,Vomit,呕吐,
uncensored-vf,https://www.busfan.club/uncensored/genre/vf,拍攝現場,撮影現場,撮影現場,拍攝現場,
1r,https://www.busfan.club/genre/1r,排便,脱糞,Pooping,排便,
1t,https://www.busfan.club/genre/1t,胖女人,ぽっちゃり,Chubby,胖女人,
4i,https://www.busfan.club/genre/4i,泡泡襪,ルーズソックス,Loose Socks,泡泡袜,
uncensored-18t,https://www.busfan.club/uncensored/genre/18t,朋友,友達,友達,朋友,
2k,https://www.busfan.club/genre/2k,屁股,尻フェチ,Ass Lover,屁股,
uncensored-zc,https://www.busfan.club/uncensored/genre/zc,屁股,お尻,お尻,屁股,
uncensored-164,https://www.busfan.club/uncensored/genre/164,騙奸,騙姦,騙姦,騙奸,
t,https://www.busfan.club/genre/t,貧乳・微乳,貧乳・微乳,Small Tits,贫乳・微乳,
4l,https://www.busfan.club/genre/4l,婆婆,義母,Stepmom,婆婆,
2y,https://www.busfan.club/genre/2y,其他,その他,Others,其他,
1y,https://www.busfan.club/genre/1y,其他戀物癖,その他フェチ,Other Fetishes,其他恋物癖,
k,https://www.busfan.club/genre/k,旗袍,チャイナドレス,Chinese Dress,旗袍,
uncensored-gre160,https://www.busfan.club/uncensored/genre/gre160,旗袍,チャイナドレス,China Doll,旗袍,
uncensored-141,https://www.busfan.club/uncensored/genre/141,騎乘內射,騎乗位中出し,Creampie-riding,騎乘內射,
uncensored-gre087,https://www.busfan.club/uncensored/genre/gre087,騎乘位,騎乗位,騎乗位,騎乘位,
uncensored-gre099,https://www.busfan.club/uncensored/genre/gre099,騎在臉上,顔面騎乗,Sitting on face,騎在臉上,
11,https://www.busfan.club/genre/11,企畫,企画,Variety,企画,
uncensored-1z,https://www.busfan.club/uncensored/genre/1z,企劃物,企画物,企画物,企劃物,
1h,https://www.busfan.club/genre/1h,汽車性愛,カーセックス,Car Sex,车震,
2b,https://www.busfan.club/genre/2b,千金小姐,お嬢様・令嬢,Princess & Mademoiselle,大小姐, 与其他站点的翻译保持一致
1m,https://www.busfan.club/genre/1m,強姦,強姦,Rape,强奸,
2e,https://www.busfan.club/genre/2e,情侶,カップル,Couple,情侣,
uncensored-gre058,https://www.busfan.club/uncensored/genre/gre058,情趣內衣,セクシーランジェリー,セクシーランジェリー,情趣內衣,
uncensored-2r,https://www.busfan.club/uncensored/genre/2r,情人,彼女,彼女,情人,
uncensored-1co,https://www.busfan.club/uncensored/genre/1co,親人,近親○姦,Kinshin-Soukan,親人,
uncensored-7g,https://www.busfan.club/uncensored/genre/7g,求職,就職活動,就職活動,求職,
uncensored-mx,https://www.busfan.club/uncensored/genre/mx,全裸,全裸,全裸,全裸,
3l,https://www.busfan.club/genre/3l,拳交,フィスト,Fisting,拳交,
uncensored-gre051,https://www.busfan.club/uncensored/genre/gre051,裙子,パンチラ,パンチラ,裙子,
uncensored-gre024,https://www.busfan.club/uncensored/genre/gre024,人妻,人妻,人妻,人妻,
uncensored-2d,https://www.busfan.club/uncensored/genre/2d,人氣系列,人気シリーズ,人気シリーズ,人氣系列,
uncensored-2e,https://www.busfan.club/uncensored/genre/2e,人妖,ニューハーフ,ニューハーフ,人妖,
6t,https://www.busfan.club/genre/6t,日焼け,日焼け,Suntan,晒黑,
3n,https://www.busfan.club/genre/3n,乳房,美乳,Beautiful Tits,乳房,
1s,https://www.busfan.club/genre/1s,乳交,パイズリ,Titty Fuck,乳交,
uncensored-gre094,https://www.busfan.club/uncensored/genre/gre094,乳交,パイズリ,Tits Job,乳交,
3z,https://www.busfan.club/genre/3z,乳液,ローション,Lotion,乳汁,
e6,https://www.busfan.club/genre/e6,軟体,軟体,軟体,软体,
uncensored-gre079,https://www.busfan.club/uncensored/genre/gre079,軟體,軟体,軟体,軟體,
uncensored-gre127,https://www.busfan.club/uncensored/genre/gre127,潤滑劑,ローション,ローション,潤滑劑,
uncensored-1c2,https://www.busfan.club/uncensored/genre/1c2,潤滑油,全身ローション,Lotion,潤滑油,
21,https://www.busfan.club/genre/21,賽車女郎,レースクィーン,Race Queen,赛车女郎,
uncensored-iz,https://www.busfan.club/uncensored/genre/iz,散步,散歩,散歩,散步,
uncensored-du,https://www.busfan.club/uncensored/genre/du,喪服,喪服,喪服,喪服,
4e,https://www.busfan.club/genre/4e,瘙癢,くすぐり,Tickling,瘙痒,
uncensored-gre044,https://www.busfan.club/uncensored/genre/gre044,色狼,痴漢,Pervert on Train,色狼,
uncensored-gre147,https://www.busfan.club/uncensored/genre/gre147,沙發,ソファ,ソファ,沙發,
uncensored-wy,https://www.busfan.club/uncensored/genre/wy,曬痕,日焼け跡,日焼け跡,曬痕,
uncensored-43,https://www.busfan.club/uncensored/genre/43,上司,上司,上司,上司,
uncensored-gre032,https://www.busfan.club/uncensored/genre/gre032,少女,美少女,美少女,少女,
uncensored-8q,https://www.busfan.club/uncensored/genre/8q,舌頭,舌,舌,舌頭,
uncensored-124,https://www.busfan.club/uncensored/genre/124,射在大腿,太腿に精液,cum on Thigh,射在大腿,
uncensored-14w,https://www.busfan.club/uncensored/genre/14w,射在腹部,腹に精液,Cum on belly,射在腹部,
uncensored-13a,https://www.busfan.club/uncensored/genre/13a,射在屁股,尻に精液,cum on hip,射在屁股,
uncensored-110,https://www.busfan.club/uncensored/genre/110,射在頭髮,髪に精液,cum on hair,射在頭髮,
uncensored-11a,https://www.busfan.club/uncensored/genre/11a,射在外陰,マンコぶっかけ,Pussy Bukkake,射在外陰,
uncensored-11e,https://www.busfan.club/uncensored/genre/11e,射在胸部,胸に精液,Cum On tits,射在胸部,
uncensored-128,https://www.busfan.club/uncensored/genre/128,射在衣服上,着衣に精液,Cum on Clothes,射在衣服上,
82,https://www.busfan.club/genre/82,設置項目,セット商品,Set items,设置项目, TODO
uncensored-gre128,https://www.busfan.club/uncensored/genre/gre128,攝影,撮影,撮影,攝影,
1w,https://www.busfan.club/genre/1w,身體意識,ボディコン,Tight Dress,身体意识,
uncensored-gre097,https://www.busfan.club/uncensored/genre/gre097,深膚色,ギャル系,Gal,深膚色,
3f,https://www.busfan.club/genre/3f,深喉,イラマチオ,Deep Throat,深喉,
uncensored-sl,https://www.busfan.club/uncensored/genre/sl,繩子,ロープ,ロープ,繩子,
uncensored-gre118,https://www.busfan.club/uncensored/genre/gre118,失禁,失禁,失禁,失禁,
4t,https://www.busfan.club/genre/4t,食糞,食糞,Scat,食粪,
7w,https://www.busfan.club/genre/7w,時間停止,時間停止,Time Freezing,时间停止,
uncensored-gre006,https://www.busfan.club/uncensored/genre/gre006,實拍,ドキュメント/実録,ドキュメント/実録,實拍,
uncensored-3r,https://www.busfan.club/uncensored/genre/3r,視訊小姐,デリヘル嬢,デリヘル嬢,視訊小姐,
uncensored-zk,https://www.busfan.club/uncensored/genre/zk,手銬,手錠,Handcuffs,手銬,
uncensored-gre090,https://www.busfan.club/uncensored/genre/gre090,手淫,手コキ,Handjob,手淫,
46,https://www.busfan.club/genre/46,手指插入,指マン,Fingering,指交,
uncensored-gre003,https://www.busfan.club/uncensored/genre/gre003,首次,初裏,初裏,首次,
uncensored-12x,https://www.busfan.club/uncensored/genre/12x,首次肛交,アナル処女強奪,Anal virgin,首次肛交,
33,https://www.busfan.club/genre/33,首次亮相,デビュー作品,Debut,首次亮相,
uncensored-14d,https://www.busfan.club/uncensored/genre/14d,首次內射,人生初中出し,first creampie,首次內射,
uncensored-40,https://www.busfan.club/uncensored/genre/40,首次作品,初裏作品,初裏作品,首次作品,
ei,https://www.busfan.club/genre/ei,受付嬢,受付嬢,受付嬢,接待小姐,
uncensored-gre133,https://www.busfan.club/uncensored/genre/gre133,受虐,ドM,ドM,受虐,
es,https://www.busfan.club/genre/es,叔母さん,叔母さん,叔母さん,叔母阿姨,
uncensored-gre022,https://www.busfan.club/uncensored/genre/gre022,熟女,熟女/人妻,熟女/人妻,熟女,
uncensored-22,https://www.busfan.club/uncensored/genre/22,束縛,縛り,縛り,束縛,
31,https://www.busfan.club/genre/31,數位馬賽克,デジモ,Digital Mosaic,, 有码分类下面还有不带马赛克的吗？删掉这个标签
3d,https://www.busfan.club/genre/3d,雙性人,ふたなり,Hermaphrodite,双性人,
m,https://www.busfan.club/genre/m,水手服,セーラー服,Sailor Uniform,水手服,
uncensored-gv,https://www.busfan.club/uncensored/genre/gv,水手服,セーラー服,Student Uniform,水手服,
uncensored-165,https://www.busfan.club/uncensored/genre/165,睡眠系,睡眠系,睡眠系,睡眠系,
uncensored-14,https://www.busfan.club/uncensored/genre/14,睡衣,パジャマ,パジャマ,睡衣,
uncensored-1cu,https://www.busfan.club/uncensored/genre/1cu,順從,おしとやか・何でもイイナリ,Quiet / Obedient,順從,
uncensored-wz,https://www.busfan.club/uncensored/genre/wz,絲帶,リボン,リボン,絲帶,
uncensored-pm,https://www.busfan.club/uncensored/genre/pm,送貨上門,宅配,宅配,送貨上門,
uncensored-gre023,https://www.busfan.club/uncensored/genre/gre023,素人,素人,素人,素人,
uncensored-4s,https://www.busfan.club/uncensored/genre/4s,素顏,素顔,素顔,素顏,
uncensored-gre152,https://www.busfan.club/uncensored/genre/gre152,榻榻米,畳,畳,榻榻米,
uncensored-gre060,https://www.busfan.club/uncensored/genre/gre060,套裝,スーツ,スーツ,套裝,
7u,https://www.busfan.club/genre/7u,特典あり（AVベースボール）,特典あり（AVベースボール）,特典あり（AVベースボール）,特典, TODO
5a,https://www.busfan.club/genre/5a,特效,特撮,Special Effects,特效,
84,https://www.busfan.club/genre/84,體驗懺悔,体験告白,Experience confession,体验忏悔,
y,https://www.busfan.club/genre/y,體育服,体操着・ブルマ,Gym Clothes,体育服,
uncensored-gre106,https://www.busfan.club/uncensored/genre/gre106,剃毛,剃毛,Shave,剃毛,
2j,https://www.busfan.club/genre/2j,天堂TV,パラダイスTV,Paradise TV,, JavBus把发行商'パラダイステレビ'翻译为天堂TV。你这还不如不要翻译
uncensored-gre115,https://www.busfan.club/uncensored/genre/gre115,舔蛋蛋,タマ舐め,タマ舐め,舔蛋蛋,
uncensored-12a,https://www.busfan.club/uncensored/genre/12a,舔耳朵,男が女の耳を舐める,licking the ear of the woman,舔耳朵,
uncensored-gre110,https://www.busfan.club/uncensored/genre/gre110,舔肛,アナルなめ,アナルなめ,舔肛,
uncensored-13r,https://www.busfan.club/uncensored/genre/13r,舔腳,男の足舐め,licking foot of the man,舔腳,
3q,https://www.busfan.club/genre/3q,舔陰,クンニ,Cunnilingus,舔阴,
uncensored-i,https://www.busfan.club/uncensored/genre/i,舔陰,クンニ,クンニ,舔陰,
q,https://www.busfan.club/genre/q,跳蛋,ローター,Egg Vibrator,跳蛋,
3c,https://www.busfan.club/genre/3c,跳舞,ダンス,Dance,跳舞,
3g,https://www.busfan.club/genre/3g,通姦,不倫,Adultery,通奸,
uncensored-yz,https://www.busfan.club/uncensored/genre/yz,通姦,不倫,不倫,通姦,
uncensored-m8,https://www.busfan.club/uncensored/genre/m8,同事,同僚,同僚,同事,
uncensored-gre007,https://www.busfan.club/uncensored/genre/gre007,同性戀,レズ,Lesbian,同性戀,
5k,https://www.busfan.club/genre/5k,童年朋友,幼なじみ,Childhood Friend,童年朋友,
