id,url,zh_cn,zh_tw,en,ja,translate,note,,
aqgq,https://www.b49t.com/cn/vl_genre.php?g=aqgq,蓝光,藍光,Blu-ray,Blu-ray（ブルーレイ）,蓝光,,,
a4bq,https://www.b49t.com/cn/vl_genre.php?g=a4bq,薄马赛克,薄馬賽克,Risky Mosaic,ギリモザ,薄马赛克,,,
a4ga,https://www.b49t.com/cn/vl_genre.php?g=a4ga,蛮横娇羞,蠻橫嬌羞,Tsundere,ツンデレ,蛮横娇羞,,,
ampa,https://www.b49t.com/cn/vl_genre.php?g=ampa,蜡烛,蠟燭,Candle,蝋燭,蜡烛,,,
a4la,https://www.b49t.com/cn/vl_genre.php?g=a4la,行动,行動,Action,アクション,行动,,,
pm,https://www.b49t.com/cn/vl_genre.php?g=pm,裸体围裙,裸體圍裙,Naked Apron,裸エプロン,裸体围裙,,,
aquq,https://www.b49t.com/cn/vl_genre.php?g=aquq,西洋片,西洋片,US/EU Porn,洋ピン,西洋片,,,
ai,https://www.b49t.com/cn/vl_genre.php?g=ai,角色扮演,角色扮演,Cosplay,コスプレ,角色扮演,,,
arja,https://www.b49t.com/cn/vl_genre.php?g=arja,角色扮演者,角色扮演者,Cosplayers,コスプレイヤー,角色扮演者,,,
a4ha,https://www.b49t.com/cn/vl_genre.php?g=a4ha,触手,觸手,Tentacle,触手,触手,,,
a4qq,https://www.b49t.com/cn/vl_genre.php?g=a4qq,触摸打字,觸摸打字,Touch Typing,タッチタイピング,触摸打字,,,
a5cq,https://www.b49t.com/cn/vl_genre.php?g=a5cq,讲师,講師,Instructor,インストラクター,讲师,,,
a4ja,https://www.b49t.com/cn/vl_genre.php?g=a4ja,访问,訪問,Interview,インタビュー,访问,,,
n4,https://www.b49t.com/cn/vl_genre.php?g=n4,调教,調教,Training,調教,调教,,,
aqna,https://www.b49t.com/cn/vl_genre.php?g=aqna,赛车女郎,賽車女郎,Race Queen,レースクィーン,赛车女郎,,,
a4ya,https://www.b49t.com/cn/vl_genre.php?g=a4ya,超乳,超乳,Ultra-Huge Tits,超乳,超乳,,,
a5na,https://www.b49t.com/cn/vl_genre.php?g=a5na,超短裙,超短裙,Miniskirt,ミニスカート,超短裙,,,
ardq,https://www.b49t.com/cn/vl_genre.php?g=ardq,足交,足交,Footjob,足コキ,足交,,,
aqrq,https://www.b49t.com/cn/vl_genre.php?g=aqrq,跳舞,跳舞,Dance,ダンス,跳舞,,,
aqxa,https://www.b49t.com/cn/vl_genre.php?g=aqxa,跳蛋,跳蛋,Egg Vibrator,ローター,跳蛋,,,
aqcq,https://www.b49t.com/cn/vl_genre.php?g=aqcq,身体意识,身體意識,Body Conscious,ボディコン,身体意识,,,
areq,https://www.b49t.com/cn/vl_genre.php?g=areq,车掌小姐,車掌小姐,Bus Guide,バスガイド,车掌小姐,,,
cu,https://www.b49t.com/cn/vl_genre.php?g=cu,轮奸,輪姦,Gangbang,輪姦,轮奸,,,
pu,https://www.b49t.com/cn/vl_genre.php?g=pu,辣妹,辣妹,Gal,ギャル,辣妹,,,
a4qa,https://www.b49t.com/cn/vl_genre.php?g=a4qa,运动,運動,Sport,スポーツ,运动,,,
aqbq,https://www.b49t.com/cn/vl_genre.php?g=aqbq,运动短裤,運動短褲,Bloomers,ブルマ,运动短裤,,,
ie,https://www.b49t.com/cn/vl_genre.php?g=ie,连裤袜,連褲襪,Pantyhose,パンスト,连裤袜,,,
oy,https://www.b49t.com/cn/vl_genre.php?g=oy,迷你裙,迷你裙,Mini Skirt,ミニスカ,迷你裙,,,
aqqa,https://www.b49t.com/cn/vl_genre.php?g=aqqa,迷你裙警察,迷你裙警察,Mini Skirt Police,ミニスカポリス,迷你裙警察,,,
a5da,https://www.b49t.com/cn/vl_genre.php?g=a5da,重印版,重印版,Reprinted Edition,復刻版,重印版,,,
le,https://www.b49t.com/cn/vl_genre.php?g=le,露出,露出,Exposure,露出,露出,,,
azcq,https://www.b49t.com/cn/vl_genre.php?g=azcq,青年,青年,Youth,青春,青年,,,
a4hq,https://www.b49t.com/cn/vl_genre.php?g=a4hq,韩国,韓國,Korean,韓国,韩国,,,
cm,https://www.b49t.com/cn/vl_genre.php?g=cm,颜射,顏射,Bukkake,ぶっかけ,颜射,,,
mi,https://www.b49t.com/cn/vl_genre.php?g=mi,颜射,顏射,Facials,顔射,颜射,,,
aq5a,https://www.b49t.com/cn/vl_genre.php?g=aq5a,颜面骑乘,顏面騎乘,Facesitting,顔面騎乗,颜面骑乘,,,
a5dq,https://www.b49t.com/cn/vl_genre.php?g=a5dq,飞特族,飛特族,Freeter,フリーター,飞特族,,,
aq6a,https://www.b49t.com/cn/vl_genre.php?g=aq6a,食粪,食糞,Coprophagy,食糞,食粪,,,
aq7q,https://www.b49t.com/cn/vl_genre.php?g=aq7q,饮尿,飲尿,Piss Drinking,飲尿,饮尿,,,
aylq,https://www.b49t.com/cn/vl_genre.php?g=aylq,首次亮相,首次亮相,Debut,デビュー作,首次亮相,,,
my,https://www.b49t.com/cn/vl_genre.php?g=my,首次亮相,首次亮相,Debut Production,デビュー作品,首次亮相,,,
aqia,https://www.b49t.com/cn/vl_genre.php?g=aqia,高,高,Tall,長身,高,,,
iy,https://www.b49t.com/cn/vl_genre.php?g=iy,高中女生,高中女生,School Girls,女子校生,高中女生,,,
am3a,https://www.b49t.com/cn/vl_genre.php?g=am3a,高龄男,高齡男,Elder Male,お爺ちゃん,高龄男,,,
aqua,https://www.b49t.com/cn/vl_genre.php?g=aqua,魔鬼系,魔鬼系,Evil,鬼畜系,魔鬼系,,,
ariq,https://www.b49t.com/cn/vl_genre.php?g=ariq,鸭嘴,鴨嘴,Speculum,クスコ,鸭嘴,,,
arlq,https://www.b49t.com/cn/vl_genre.php?g=arlq,黑人演员,黑人演員,Black Actor,黒人男優,黑人演员,,,
